teryt;token;district;entire_token
180904;Szczutków;6
181802;Sołectwo Kozły-Załęże stanowiące część miejscowości Stany
182002;Osiedle Gorzyce
182003;Sołectwo Grębów-Zapolednik
120303;Chrzanów część Osiedla Niepodległości
120402;Szpitalna
120505;bez przysiółka Bednarskie
120505;przysiółek Bednarskie
120611;ks. Jerzego Popiełuszki od 2 do końca parzyste
120706;osiedla: Centrum
120706;osiedla: Odrończa
120706;Nowy Świat
120712;osiedla Doraź
120712;osiedla Bloki
120712;osiedla Bogaczówka
121005;bez przysiółka Zagóra
121015;bez przysiółka Życzanów
121016;bez części Praczka
121506;bez osiedla Burdylówka
121506;bez osiedla Cyganówka
121506;bez osiedla Judaszówka
121506;bez osiedla Zarąbki
121506;bez osiedla Brzanki
121506;bez osiedla Laskowa
121506;bez osiedla Pustki
121609;TZCB-II
121905;park Mickiewicza
240101;rondo Jana Pawła II
240204;Granice obwodu: Gmina Czechowice-Dziedzice
240204;rondo Solidarności
240302;Cieszyńska od 1 nieparzyste
240302;VII
241403;Spokojna
240402;przysiółek Ignaców
240601;Przybyłów
240802;Cieszyńska od węzła DK 44 z DK 81 do skrzyżowania z Wojska Pol. z Rybnicką
240802;Cieszyńska od skrzyżowania ul. Wojska Polskiego z ul. Rybnicką do granic miasta Łaziska Górne
240902;Stara Huta II wieś Stara Huta
241003;Przemysłowa;;True
241003;Górnicza;;True
241003;Szkolna;9;True
241004;Polna;;True
241304;rondo im. Księdza kpt. Wilhelma Stempora
241304;Rondo im. Stowarzyszenia Miłośników Ziemi Tarnogórskiej
241304;Pustki-Leśnictwo
241503;Ks. Franciszka Blachnickiego
241504;Osiedle XXX Lecia P1E
241602;ks. prał. Piotra Miklasińskiego
241704;Jana Kazimierza nieparzyste
241711;Rajcza
160404;osada Cegielnia
160404;osada Brynica
160602;część Osiedla V - Osiedla Reymonta
160802;Śląski
160802;Śląski Osiedle Centrum III
160806;Sołectwo Bugaj
160907;miasto Niemodlin
020201;Ostatnia
020811;Kasztanowa
020811;Kazimierza Jacukowicza
021404;przysiółek Szklarka
021406;przysiółek Gutków
021503;Osiedle Europejskie
021605;bez Szklarki
021803;przysiółek Miłoszyn
021803;przysiółek Warzyna
022304;Osiedle 4
022304;Osiedle 5
022502;gen. Józefa Bema
080104;osada leśna Różanki
080104;osada leśna Zdroisko
080104;osada leśna Wojcieszyce
080104;osada leśna Rybakowo
080404;Kolonia Górska
080406;wieś Gołaszyn ulice: Poniatowskiego
080406;Szosa Głogowska
080601;osada Ostrowiec
320101;Kostrzyńska
320402;osada leśna Krzewno
321004;osada Dąbrowa
